inchikey,compound_name,compound_class,fungal_producer,n_spectra,doi,example_accession
BRHYSVIYRNFZEB-UHFFFAOYSA-N,Obionin A,Polyketides,Leptosphaeria obiones,2,10.1016/s0040-4039(00)99419-x,MycoMSB-HZI-000516
DHMPJEGFPQTNFX-UHFFFAOYSA-N,Oosporein,Polyketides,Chaetomium aureum,1,10.1039/jr9550002163,MycoMSB-HZI-000734
TXEVVAPERSDMTN-KAKRINCYSA-N,Ophiobolin K,Terpenoids,Aspergillus sp.,5,10.1016/s0040-4020(01)96148-4,MycoMSB-HZI-000420
BDXBHYOFNNANPN-RTBURBONSA-N,Palmarumycin C3,Polyketides,Coniothyrium sp.,3,10.1002/jlac.199419941108,MycoMSB-HZI-000399
QLIJDZRMCHOSHG-UHFFFAOYSA-N,Pestabacillin B,Terpenoids,Unknown-bacterium sp.,1,10.1016/j.tetlet.2016.12.026,MycoMSB-HZI-000780
AJFPOVBARCSOLH-MUYACECFSA-N,Petasol,Terpenoids,Penicillium sp.,1,10.1002/cbdv.200490162,MycoMSB-HZI-000445
FGBCTHWFZGPKDZ-MFKMUULPSA-N,Phomol,Polyketides,Phomopsis sp. E02018,1,10.7164/antibiotics.57.559,MycoMSB-HZI-000740
JVLHNUNFFFDFDT-XIHPKKOBSA-N,Phomopchalasin A,Alkaloids,Phomopsis sp. shj2,5,10.1021/acs.orglett.6b00214,MycoMSB-HZI-000213
ZCLZNQUALWMDDN-ACMZUNAXSA-N,Phomoxanthone A,Polyketides,Phomopsis sp. BCC 1323,2,10.1021/np010006h,MycoMSB-HZI-000870
FDWJUXZXNAQEPD-UHFFFAOYSA-N,Pigmentosin A,Polyketides,Hypotrachyna immaculata,2,10.1071/ch04003,MycoMSB-HZI-000901
VUPURRJSLQKYJL-POJXQBLJSA-N,Pleurothiazole,Terpenoids,Hohenbuehelia grisea,2,10.1021/acs.jnatprod.7b00713,MycoMSB-HZI-000509
LMSUWCOEKCRCEB-XYOUVAGFSA-N,Preussilide A,Polyketides,Preussia similis,3,10.1021/acs.jnatprod.7b00064,MycoMSB-HZI-000480
QTIOSMDWFDPTSG-UTFLDQSTSA-N,Prototenellin D,Amino acids and Peptides / Polyketides,Beauveria bassiana,2,10.1021/ja807052c,MycoMSB-HZI-000987
CHHKGJIZUJUBDN-CYBMUJFWSA-N,Pseudoanguillosporin A,Polyketides,Pseudoanguillospora sp.,2,10.1002/ejoc.200801083,MycoMSB-HZI-000313
SLYDIPAXCVVRNY-UOWMTANKSA-N,Pseurotin A,Amino acids and Peptides / Polyketides,Aspergillus fumigatus WFZ-25,2,10.1002/hlca.19760590114,MycoMSB-HZI-000925
SLYDIPAXCVVRNY-FURSAZSWSA-N,Pseurotin A4,Amino acids and Peptides / Polyketides,Wilsonomyces carpophilus,3,10.1016/j.phytol.2018.06.018,MycoMSB-HZI-000361
SLYDIPAXCVVRNY-QYCAIMRZSA-N,Pseurotin A5,Amino acids and Peptides / Polyketides,Wilsonomyces carpophilus,4,10.1016/j.phytol.2018.06.018,MycoMSB-HZI-000765
AECZOENDDUTONS-PWSPGYJUSA-N,Pyrichalasin H,Alkaloids,Pyricularia grisea,3,10.1271/bbb1961.51.2625,MycoMSB-HZI-000200
RZNMCGWGYUMEOL-HTKXOECOSA-N,Pyridovericin,Alkaloids,Beauveria bassiana,1,10.7164/antibiotics.51.596,MycoMSB-HZI-000661
GOSSDHHYVCWSCT-IHMRMOLWSA-N,Pyristriatin B,Terpenoids,Cyathus cf. striatus,3,10.1021/acs.jnatprod.6b00194,MycoMSB-HZI-000344
KMNBURIPCCDPIF-JAPZVGMSSA-N,Rhodocorane A,Terpenoids,Rhodotus palmatus,4,10.1021/acs.orglett.9b01017,MycoMSB-HZI-000432
PIGBFRXBCWBHTG-FFIJEWMLSA-N,Rhodocorane D,Terpenoids,Rhodotus palmatus,3,10.1021/acs.orglett.9b01017,MycoMSB-HZI-000750
NXASRCLLNRHDMV-UYUMYWFVSA-N,Rhodocorane F,Unknown,Rhodotus palmatus,1,10.1021/acs.jnatprod.9b00871,MycoMSB-HZI-000635
CSVYJQZYIZFTCP-JYLGEYMFSA-N,Rhodocorane I,Terpenoids,Rhodotus palmatus,2,10.1021/acs.jnatprod.9b00871,MycoMSB-HZI-000962
Rhodocorane J,Rhodocorane J,Unknown,Rhodotus palmatus,2,10.1021/acs.jnatprod.9b00871,MycoMSB-HZI-000903
JOVXGJFDWIAZDW-UHFFFAOYSA-N,Rickenyl A,NRPS-like,Hypoxylon rickii,1,10.1016/j.phytochem.2015.08.004,MycoMSB-HZI-000001
RVHMPIHHNZVLMH-UHFFFAOYSA-N,Rickenyl B,NRPS-like,Hypoxylon rickii,5,10.1016/j.phytochem.2015.08.005,MycoMSB-HZI-000002
SKKUPTPBYKRTOQ-UHFFFAOYSA-N,Rickenyl C,NRPS-like,Hypoxylon rickii,2,10.1016/j.phytochem.2015.08.006,MycoMSB-HZI-000005
QOFOPUXDBNNMHW-UHFFFAOYSA-N,Rickenyl D/E,NRPS-like,Hypoxylon rickii,2,10.1016/j.phytochem.2015.08.007,MycoMSB-HZI-000006
ZPZBRVXCZBYHPI-UHFFFAOYSA-N,Rickiol A,Polyketide,Hypoxylon rickii,8,10.1002/chem.201704928,MycoMSB-HZI-000008
SQCWVFMWNBADBV-KGMVHGDISA-N,Rickiol E,Fatty acids,Hypoxylon rickii,1,10.1002/chem.201704928,MycoMSB-HZI-000920
PHGIAZZKSBKALI-WOJBJXKFSA-N,Rickitin,Terpene,Hypoxylon rickii,7,10.1016/j.phytochem.2015.06.002,MycoMSB-HZI-000012
ZDAMBVJOZXCGPS-IXGFDZCOSA-N,Rubiginosin A,Polyketide,Hypoxylon rubiginosum,8,10.3897/mycokeys.66.50946,MycoMSB-HZI-000069
OQKLHNURLMVVRL-HLQXDFMSSA-N,Rutilin A,Polyketides,Hypoxylon rutilum,3,10.1016/j.tet.2005.06.077,MycoMSB-HZI-000590
MQSXZQXHIJMNAF-UHFFFAOYSA-N,Skyrin,Polyketides,Trypetheliopsis boninensis,1,10.3891/acta.chem.scand.24-3331,MycoMSB-HZI-000299
Sparticolin A,Sparticolin A,Unknown,Sparticola junci,3,10.1021/acs.jnatprod.9b00604,MycoMSB-HZI-000370
